"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1951,"Mike","Anderson","Michael Allen",200,74,"R","R"
1966,"Mike","Anderson","Michael James",200,75,"R","R"
1990,"Nick","Anderson","Nick Paul",205,76,"R","R"
1912,"Red","Anderson","Arnold Revola",210,75,"R","R"
1956,"Rick","Anderson","Richard Arlen",175,72,"R","R"
1953,"Rick","Anderson","Richard Lee",210,74,"R","R"
1962,"Scott","Anderson","Scott Richard",190,78,"R","R"
1994,"Shaun","Anderson","Shaun",228,78,"R","R"
1934,"Sparky","Anderson","George Lee",170,69,"R","R"
1993,"Tanner","Anderson","Tanner Ackley",203,74,"R","R"
1993,"Tim","Anderson","Timothy Devon",185,73,"R","R"
1989,"Tyler","Anderson","Tyler John",220,74,"L","L"
1866,"Varney","Anderson","Warner Samuel",165,70,"R","R"
1897,"Walter","Anderson","Walter Carl",160,74,"L","L"
1886,"Wingo","Anderson","Wingo Charlie",150,70,"L","L"
1984,"Robert","Andino","Robert Lazaro",185,71,"R","R"
1978,"Steve","Andrade","Stephen Michael",220,73,"R","R"
1923,"John","Andre","John Edward",200,76,"L","R"
1990,"John","Andreoli","John Francis",218,73,"R","R"
1918,"Ernie","Andres","Ernest Henry",200,73,"R","R"
1953,"Kim","Andrew","Kim Darrell",160,70,"R","R"
1997,"Clayton","Andrews","Clayton Davis",160,66,"L","L"
1978,"Clayton","Andrews","Clayton John",175,72,"R","L"
1859,"Ed","Andrews","George Edward",160,68,"R","R"
1901,"Elbert","Andrews","Elbert DeVore",175,72,"L","R"
1952,"Fred","Andrews","Fred",163,68,"R","R"
1922,"Hub","Andrews","Hubert Carl",170,72,"R","R"
1907,"Ivy","Andrews","Ivy Paul",200,73,"R","R"
1865,"Jim","Andrews","James Pratt",NA,NA,NA,NA
1949,"John","Andrews","John Richard",175,70,"L","L"
1943,"Mike","Andrews","Michael Jay",195,75,"R","R"
1913,"Nate","Andrews","Nathan Hardy",195,72,"R","R"
1952,"Rob","Andrews","Robert Patrick",185,72,"R","R"
1971,"Shane","Andrews","Darrell Shane",215,73,"R","R"
1917,"Stan","Andrews","Stanley Joseph",178,71,"R","R"
1859,"Wally","Andrews","William Walter",170,75,"R","R"
1989,"Matt","Andriese","Matthew Lee",215,74,"R","R"
1907,"Bill","Andrus","William Morgan",185,72,"R","R"
1988,"Elvis","Andrus","Elvis Augusto",210,72,"R","R"
